repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
agentjido/jido,4,91.24423963133641,2024-12-20T20:30:02
kirill-markin/chrome-auto-image-blocker,5,91.17647058823529,2025-03-06T07:43:48
paulboguta/alternativeoss,5,91.13924050632912,2025-02-22T07:54:09
GODrums/BetterFloat,1,91.05691056910568,2025-03-10T19:30:41
bitcashorg/smartsale,8,91.01796407185628,2024-07-20T15:46:53
ryokun6/ryos,22,90.92979127134726,2025-01-27T22:28:26
hyusap/deconstructor,1,90.9090909090909,2025-02-24T05:16:58
gpt-cmdr/ras-commander,16,90.9090909090909,2024-09-16T15:53:00
labnol/react-tailwind,1,90.9090909090909,2024-09-05T15:29:33
ezyang/codemcp,1,90.80882352941177,2025-03-16T19:27:01
sullyo/webapp-starter,15,90.72164948453609,2025-02-19T14:23:03
rejot-dev/rejot,20,90.71856287425149,2025-02-16T22:08:39
dotabod/frontend,9,90.67611777535441,2025-03-15T09:57:58
CarlosZiegler/zt-stack,2,90.32258064516128,2025-03-05T01:41:11
KroMiose/nekro-agent,13,90.26402640264027,2025-01-14T03:19:21
stacksjs/dtsx,5,90.25522041763341,2025-02-19T09:36:00
heyverse/hey,11,90.14171287738756,2025-03-18T00:37:08
elie222/inbox-zero,169,89.6540830832412,2024-09-16T17:34:36
ccbikai/hacker-news,1,89.53488372093024,2025-02-14T21:38:12
sbomify/sbomify,26,89.47368421052632,2025-01-30T14:48:16
DarkSkyTeam/kirara-webui,3,89.42307692307693,2025-02-06T06:59:52
fengkx/beancount-lsp,10,89.3569844789357,2025-02-26T08:26:01
Julian-AT/synth-ui,1,89.24731182795699,2024-10-13T16:17:06
TextGeneratorio/text-generator.io,5,89.1891891891892,2025-03-28T21:30:55
The-Pocket/PocketFlow-Template-Python,11,89.13043478260869,2025-02-28T18:25:20
airweave-ai/airweave,77,89.06906906906907,2025-03-03T08:58:47
dougwithseismic/cursor-tools,1,89.0625,2025-01-21T20:16:24
ToolUse/infinite-ai-seo,1,88.88888888888889,2025-02-05T01:57:55
justdoinc/justdo,4,88.46153846153845,2025-03-20T11:51:58
nauvalazhar/gollama,1,88.23529411764706,2025-01-28T09:50:48
unsend-dev/unsend,4,88.18181818181819,2025-03-22T16:06:56
rubenarslan/formr.org,13,87.93532338308458,2025-01-10T04:26:07
kingbootoshi/cypher-swarm,2,87.71929824561403,2024-11-24T05:56:51
DataZooDE/erpl,5,87.60330578512396,2025-03-22T22:31:52
tony/django-slugify-processor,1,87.48768472906404,2025-03-08T16:15:13
ChatFAQ/ChatFAQ,4,87.30964467005076,2024-09-16T06:07:17
undb-io/undb,2,87.10280373831776,2025-03-07T22:36:58
helius-labs/kite,4,87.06896551724138,2025-02-05T16:51:51
serversideup/docker-ssh,1,86.95652173913044,2024-11-13T15:15:05
QuantGeekDev/mcp-framework,8,86.76470588235294,2025-03-28T13:02:56
parres-hq/whitenoise,9,86.5546218487395,2025-03-26T13:13:43
MathiasGruber/TheNinjaRPG,8,86.47040400876918,2025-02-27T09:22:49
kingbootoshi/cypher,5,86.20689655172413,2024-12-12T00:40:04
Swiftgum/swiftgum,3,85.90308370044053,2025-02-19T04:07:24
T1nker-1220/UltraContextAI,9,85.71428571428571,2025-02-07T07:10:27
hellokaton/namesage,1,85.71428571428571,2025-02-10T20:43:45
comet-ml/opik-mcp,2,85.71428571428571,2025-03-06T07:56:04
serversideup/spin,1,85.60311284046692,2024-12-19T09:22:11
langfuse/langfuse-docs,81,85.59765543227968,2025-02-13T09:11:32
zueai/mcp-manager,2,85.52631578947368,2024-12-08T05:13:53
afadil/wealthfolio,5,85.45953360768176,2024-11-09T09:30:09
vulhub/vulhub,18,85.3836784409257,2025-03-04T13:39:39
cyberk-lab/nestjs-boilerplate,7,85.18518518518519,2025-01-15T03:45:39
W1ndys/Blog,1,85.0187265917603,2025-01-11T08:07:50
publicrust/rust-template,21,84.8314606741573,2025-01-01T19:39:11
daydreamsai/daydreams,15,84.72454090150251,2025-03-05T04:32:04
shakee93/rapidload,12,84.62530448488323,2024-09-10T04:19:37
micic-mihajlo/Datalore,1,84.61538461538461,2025-02-16T19:49:58
eser/deno-next-showcase,1,84.61538461538461,2024-09-28T17:48:53
henryhawke/mcp-titan,2,84.31372549019608,2025-02-20T11:28:30
superglue-ai/superglue,14,84.27586206896551,2025-02-24T17:09:05
Ashref-dev/entretien-ai,3,84.24657534246576,2024-12-01T11:07:18
level09/enferno,10,84.03141361256544,2025-02-10T15:45:08
hudy9x/namviek,3,83.90243902439025,2024-12-22T11:02:33
getgrinta/grinta,7,83.87096774193549,2025-03-10T12:16:30
GramSearch/telegram-search,8,83.64888123924268,2025-03-18T03:06:11
richardadonnell/Upwork-Job-Scraper,14,83.61581920903954,2024-09-12T19:49:00
AdirD/nestjs-context-logger,2,83.5820895522388,2025-03-04T08:40:24
humblFINANCE/humblDATA,10,83.49120433017592,2024-03-07T06:18:17
shopwareLabs/extension-verifier,5,83.47457627118644,2025-03-04T08:21:40
drivly/ai,24,83.44803854094975,2025-03-30T10:48:02
ephemeraHQ/xmtp-agent-examples,47,83.4090909090909,2025-01-17T18:23:19
jmurth1234/ClaudePlayer,1,83.33333333333334,2025-03-09T06:51:20
MafiaHub/Framework,4,83.16445830085738,2025-03-20T07:29:20
knowii-oss/knowii,5,83.13953488372093,2024-09-24T04:48:25
kremalicious/blog,5,83.09370352007932,2025-02-13T14:41:20
DumbWareio/DumbPad,4,82.97872340425532,2025-02-21T12:15:05
movibe/memory-bank-mcp,6,82.97872340425532,2025-03-08T00:28:06
VRSEN/agency-swarm,42,82.8900071890726,2024-10-10T02:11:03
code-atlantic/content-control,4,82.88650580875782,2025-03-14T03:55:46
h7ml/ai-markdown-translator,2,82.88288288288288,2025-03-24T09:36:43
toheart/goanalysis,14,82.66666666666667,2025-02-14T22:09:30
ericmjl/llamabot,11,82.6222684703434,2024-09-27T08:27:29
